ɹ	-	Duhumbi	1	k u ɹ	k u -
ŋ	-	Duhumbi	1	tʰ ɔ ŋ	tʰ ɔ -
ɛ	aj	Duhumbi	1	h ɛ	h aj
tʰ	t	Duhumbi	1	tʰ u ŋ	t ʰu ŋ
u	ʰu	Duhumbi	1	tʰ u ŋ	t ʰu ŋ
ə	u	Jerigaon	2	m ə	m u
ɔ	ɔː	Jerigaon	1	w ɔ	w ɔː
a	ɛˀ	Jerigaon	1	tɕʰ a	tɕʰ ɛˀ
eˀ	eː	Jerigaon	2	h eˀ	h eː
dʑ	dz	Jerigaon	1	dʑ i k	dz i k
-	n	Jerigaon	1	s a -	s a n
y	u	Jerigaon	1	tʰ y ŋ	tʰ u ŋ
ɔ̃	ɔ̃ː	Jerigaon	1	pʰ ɔ̃ ŋ	pʰ ɔ̃ː ŋ
ə	ɔ	Jerigaon	1	m ə	m ɔ
l	h	Jerigaon	1	l ɔː	h ɔː
ɛˀ	ɛː	Jerigaon	1	l ɛˀ	l ɛː
b	z	Jerigaon	1	b i ŋ	z i ŋ
ɔ	øˀ	Jerigaon	1	r ɔ p	r øˀ -
p	-	Jerigaon	1	r ɔ p	r øˀ -
ɔ	øː	Jerigaon	1	h ɔ	h øː
s	tɕʰ	Jerigaon	2	s eˀ	tɕʰ eˀ
ɔ	uˀ	Jerigaon	1	g ɔ	g uˀ
u	ɔ	Jerigaon	1	s u ŋ	tɕʰ ɔ ŋ
ĩˀ	ɛ̃ˀ	Jerigaon	1	ĩˀ	ɛ̃ˀ
e	yː	Jerigaon	1	z e	z yː
u	uˀ	Jerigaon	1	t u	t uˀ
ə	a	Jerigaon	1	l ə	l a
h	l	Jerigaon	1	h ɔ̃ː ŋ	l ũː ŋ
ɔ̃ː	ũː	Jerigaon	1	h ɔ̃ː ŋ	l ũː ŋ
n	r	Jerigaon	1	kʰ a n	kʰ a r
a	ɛ	Jerigaon	1	t a ŋ	t ɛ n
ŋ	n	Jerigaon	1	t a ŋ	t ɛ n
tɕʰ	tɕ	Jerigaon	1	tɕʰ ĩː	tɕ ĩː
ə	i	Jerigaon	1	m ə	m i
i	iˀ	Jerigaon	1	tɕʰ i	tɕʰ iˀ
y	i	Jerigaon	1	pʰ y ŋ	pʰ i ŋ
g	kʰ	Jerigaon	1	g y	kʰ a
y	a	Jerigaon	1	g y	kʰ a
s	dʑ	Jerigaon	1	s ɔ ŋ	dʑ y ŋ
ɔ	y	Jerigaon	1	s ɔ ŋ	dʑ y ŋ
ɔw	aw	Khispi	1	g ɔw	g aw
s	ɕ	Khispi	1	j ɛ s	j ɛ ɕ
ɛ	aj	Khispi	1	h ɛ	h aj
a	ej	Khispi	1	b a	b ej
ɕ	kʰ	Khispi	1	ɕ ow	kʰ aw
ow	aw	Khispi	1	ɕ ow	kʰ aw
ts	tɕʰ	Khispi	1	ts ɔ k	tɕʰ ɔ k
ŋ	n	Khispi	1	ɲ i ŋ	ɲ i n
tɕ	tɕʰ	Khispi	1	tɕ a k	tɕʰ a ʔ
k	ʔ	Khispi	1	tɕ a k	tɕʰ a ʔ
p	pʰ	Khispi	1	p a	pʰ a
-	k	Khispi	1	kʰ i -	kʰ i k
ej	i	Khispi	1	kʰ ej	kʰ i
s	d	Khispi	1	s u ŋ	d u ŋ
p	m	Khispi	1	b a p	b a m
b	d	Khispi	1	b u	d a
u	a	Khispi	1	b u	d a
ai	ɛ	Khoina	1	j ai ŋ	j ɛ ŋ
f	x	Khoina	1	f a ŋ	x a ŋ
ɛː	eː	Khoina	2	l ɛː	l eː
ũ	ɔ̃ː	Khoina	1	pʰ ũ ŋ	pʰ ɔ̃ː ŋ
tɕ	tɕʰ	Khoina	1	tɕ a ŋ	tɕʰ ɔː -
a	ɔː	Khoina	1	tɕ a ŋ	tɕʰ ɔː -
